调仓时间,代码,名称,当前股数,目标股数,本次操作,参考价,变动股数,备注
2026-04-03 09:30:00,600847.XSHG,万里股份,0,100,买入,12.59,100,新进
2026-04-03 09:30:00,600883.XSHG,博闻科技,0,200,买入,8.07,200,新进
2026-04-03 09:30:00,001366.XSHE,播恩集团,0,100,买入,13.66,100,新进
2026-04-03 09:30:00,002883.XSHE,中设股份,0,200,买入,9.49,200,新进
2026-04-03 09:30:00,605122.XSHG,四方新材,0,100,买入,12.97,100,新进
2026-04-03 09:30:00,002856.XSHE,美芝股份,0,100,买入,10.95,100,新进
2026-04-03 09:30:00,002963.XSHE,豪尔赛,0,100,买入,14.32,100,新进
2026-04-03 09:30:00,603041.XSHG,美思德,0,100,买入,12.56,100,新进
2026-04-03 09:30:00,002802.XSHE,洪汇新材,0,100,买入,12.76,100,新进
2026-04-03 09:30:00,002715.XSHE,登云股份,0,100,买入,14.44,100,新进
2026-04-03 09:30:00,605567.XSHG,春雪食品,0,100,买入,10.84,100,新进
2026-04-03 09:30:00,603880.XSHG,南卫股份,0,200,买入,6.8,200,新进
2026-04-03 09:30:00,600476.XSHG,湘邮科技,0,100,买入,10.68,100,新进
2026-04-03 09:30:00,603022.XSHG,新通联,0,100,买入,10.19,100,新进
2026-04-03 09:30:00,600561.XSHG,江西长运,0,300,买入,6.5,300,新进